municipality_id,town_name,platform_vendor,homepage_url,batch_id,processed_in_db,pages_count,contacts_count,winners_count,blocked_403_count,crawl_diagnostic_class,classification
ct_griswold,Griswold,Revize,https://www.griswold-ct.org/,batch_revize_trace,yes,9,34,1,0,ok,no_action_until_manual_review
ct_groton,Groton,Revize,https://www.groton-ct.gov/,batch_revize_trace,yes,19,32,0,0,ok,extraction_gap
ct_guilford,Guilford,Revize,https://www.guilfordct.gov/,batch_revize_trace,yes,18,40,2,0,ok,no_action_until_manual_review
ct_killingly,Killingly,Revize,https://www.killinglyct.gov/,batch_revize_trace,yes,16,20,2,0,ok,ready_for_extraction_qa
ct_marlborough,Marlborough,Revize,https://www.marlboroughct.net/,batch_revize_trace,yes,7,22,1,0,ok,ready_for_extraction_qa
ct_new_canaan,New Canaan,Revize,https://www.newcanaan.info/,batch_revize_trace,yes,13,17,3,0,ok,ready_for_extraction_qa
ct_north_haven,North Haven,Revize,https://www.northhaven-ct.gov/,batch_revize_trace,yes,5,15,1,0,ok,no_action_until_manual_review
ct_plainfield,Plainfield,Revize,https://www.plainfieldct.org/,batch_revize_trace,yes,13,13,1,0,ok,ready_for_extraction_qa
ct_ridgefield,Ridgefield,Revize,https://www.ridgefieldct.gov/,batch_revize_trace,yes,11,22,3,0,ok,ready_for_extraction_qa
ct_southington,Southington,Revize,https://www.southington.org/,batch_revize_trace,yes,7,16,1,0,ok,ready_for_extraction_qa
ct_stafford,Stafford,Revize,https://www.staffordct.org/,batch_revize_trace,yes,18,46,0,0,ok,extraction_gap
ct_watertown,Watertown,Revize,https://www.watertownct.org/,batch_revize_trace,yes,5,17,0,0,ok,extraction_gap
ct_windsor_locks,Windsor Locks,Town Web,https://windsorlocksct.org/,batch_non_civicplus_baseline,no,,46,7,0,ok,no_action_until_manual_review
ct_prospect,Prospect,TownWeb,https://townofprospect.gov/,batch_non_civicplus_baseline,no,,17,5,0,ok,no_action_until_manual_review
ct_meriden,Meriden,Web Solutions,https://www.meridenct.gov/,batch_non_civicplus_baseline,no,,94,5,0,ok,ready_for_extraction_qa
ct_montville,Montville,Web Solutions,https://www.townofmontville.org/,batch_non_civicplus_baseline,no,,107,7,0,ok,no_action_until_manual_review
ct_wallingford,Wallingford,Web Solutions,https://www.wallingfordct.gov/,batch_non_civicplus_baseline,no,,123,6,0,ok,ready_for_extraction_qa
ct_colebrook,Colebrook,Wordpress,https://www.townofcolebrook.org/,batch_non_civicplus_baseline,no,,33,7,0,ok,ready_for_extraction_qa
ct_salisbury,Salisbury,Wordpress,https://www.salisburyct.us/,batch_non_civicplus_baseline,no,,40,7,0,ok,no_action_until_manual_review
ct_somers,Somers,egovlink,https://www.somersct.gov/,batch_non_civicplus_baseline,no,,38,6,0,ok,ready_for_extraction_qa
ct_ellington,Ellington,finalsite,https://www.ellington-ct.gov/,batch_non_civicplus_baseline,no,,23,5,0,ok,ready_for_extraction_qa
ct_new_britain,New Britain,finalsite,https://www.newbritainct.gov/,batch_non_civicplus_baseline,no,,48,4,0,ok,ready_for_extraction_qa
ct_bridgeport,Bridgeport,ifsight,https://www.bridgeportct.gov/,batch_non_civicplus_baseline,no,,52,5,0,ok,no_action_until_manual_review
