municipality_id,batch_id,seed_url_attempted,final_url_fetched,fallback_used,http_status,redirect_count,content_type,page_title,response_text_length,extracted_link_count,candidate_service_link_count,candidate_directory_link_count,contact_rows_extracted,detected_block_signal,detected_js_shell_signal,diagnostic_class
ct_derby,batch_non_civicplus_baseline,https://www.derbyct.gov/,https://www.derbyct.gov/,0,200,0,text/html,"City of Derby, ConnecticutHome",55178,15,0,0,1,0,1,ok
ct_durham,batch_non_civicplus_baseline,https://www.townofdurhamct.org/,https://www.townofdurhamct.org/,0,200,0,text/html,"Welcome to Durham, CT!",102616,158,30,25,149,0,1,ok
ct_east_granby,batch_non_civicplus_baseline,https://eastgranbyct.org/,https://eastgranbyct.org/,0,200,0,text/html,"Town of East Granby, CT – Incorporated in 1858, Town of East Granby, Connecticut",164234,317,32,27,204,1,1,ok
ct_east_haddam,batch_non_civicplus_baseline,https://www.easthaddam.org/,https://www.easthaddam.org/,0,200,0,text/html,"Welcome to the Official Website of the Town of East Haddam, Connecticut - home",88679,3286,50,39,183,0,1,ok
ct_east_lyme,batch_non_civicplus_baseline,https://eltownhall.com/,https://eltownhall.com/,0,200,0,text/html,,26585,10,0,0,0,0,1,probable_js_shell
ct_ellington,batch_non_civicplus_baseline,https://www.ellington-ct.gov/,https://www.ellington-ct.gov/,0,200,0,text/html,Home - Town of Ellington,131383,1099,50,75,60,1,1,ok
ct_fairfield,batch_non_civicplus_baseline,https://www.fairfieldct.org/,https://fairfieldct.gov/,0,200,1,text/html,"Home - Town of Fairfield, Connecticut",77286,242,39,4,84,1,1,ok
ct_farmington,batch_non_civicplus_baseline,https://www.farmington-ct.org/,https://www.farmington-ct.org/,1,403,0,text/html,,0,0,0,0,0,0,0,blocked_or_forbidden
ct_glastonbury,batch_non_civicplus_baseline,https://www.glastonburyct.gov/,https://www.glastonburyct.gov/,1,403,0,text/html,,0,0,0,0,0,0,0,blocked_or_forbidden
ct_griswold,batch_non_civicplus_baseline,https://www.griswold-ct.org/,https://www.griswold-ct.org/,0,200,0,text/html,"Welcome to Griswold, CT",91863,270,33,28,142,1,1,ok
ct_groton,batch_non_civicplus_baseline,https://www.groton-ct.gov/,https://www.groton-ct.gov/,0,200,0,text/html,"Welcome to the Town of Groton, Connecticut",108915,382,50,75,68,0,1,ok
ct_guilford,batch_non_civicplus_baseline,https://www.guilfordct.gov/,https://www.guilfordct.gov/,0,200,0,text/html,Guilford,95560,318,50,73,142,1,1,ok
ct_hampton,batch_non_civicplus_baseline,https://www.hamptonct.org/,https://www.hamptonct.org/,0,200,0,text/html,Town of Hampton Connecticut,24204,71,8,8,43,1,1,ok
ct_hartford,batch_non_civicplus_baseline,https://www.hartfordct.gov/Home,https://www.hartfordct.gov/Home,1,403,0,text/html,,0,0,0,0,0,0,0,blocked_or_forbidden
ct_hartland,batch_non_civicplus_baseline,https://www.hartlandct.org/,https://www.hartlandct.org/,0,200,0,text/html,"Town of Hartland, CT - Home Page",81327,85,18,17,100,1,1,ok
ct_hebron,batch_non_civicplus_baseline,https://www.hebronct.com/,https://www.hebronct.com/,0,200,0,text/html,Welcome to Hebron - Town of Hebron,80443,167,50,68,73,1,1,ok
ct_killingly,batch_non_civicplus_baseline,https://www.killinglyct.gov/,https://www.killinglyct.gov/,0,200,0,text/html,"Killingly, CT",112910,355,50,75,41,1,1,ok
ct_killingworth,batch_non_civicplus_baseline,https://townofkillingworth.com/,https://townofkillingworth.com/,0,200,0,text/html,Official Website of Town of Killingworth,171178,175,22,19,131,0,1,ok
ct_litchfield,batch_non_civicplus_baseline,https://www.townoflitchfieldct.gov/,https://www.townoflitchfieldct.gov/,0,200,0,text/html,"Litchfield, CT | Welcome to our town!",101634,207,42,28,89,0,1,ok
ct_lyme,batch_non_civicplus_baseline,https://townlyme.org/,https://townlyme.org/,0,200,0,text/html,Town of Lyme | Founded 1665,294894,152,15,11,45,0,1,ok
ct_manchester,batch_non_civicplus_baseline,https://www.manchesterct.gov/Home,https://www.manchesterct.gov/Home,1,403,0,text/html,,0,0,0,0,0,0,0,blocked_or_forbidden
ct_marlborough,batch_non_civicplus_baseline,https://www.marlboroughct.net/,https://www.marlboroughct.net/,0,200,0,text/html,"Marlborough, CT",60128,187,24,20,173,1,1,ok
ct_meriden,batch_non_civicplus_baseline,https://www.meridenct.gov/,https://www.meridenct.gov/,0,200,0,text/html,"Welcome to the City of Meriden, Connecticut",45251,1344,50,75,170,1,1,ok
ct_monroe,batch_non_civicplus_baseline,https://www.monroect.gov/,https://www.monroect.gov/,0,200,0,text/html,Town of Monroe - Home,180302,1272,50,42,160,1,1,ok
ct_montville,batch_non_civicplus_baseline,https://www.townofmontville.org/,https://www.townofmontville.org/,0,200,0,text/html,"Town of Montville, CT",28777,631,50,33,211,1,1,ok
ct_morris,batch_non_civicplus_baseline,https://www.morrisct.gov/,https://www.morrisct.gov/,0,200,0,text/html,"Welcome to Morris, CT!",106873,184,25,21,216,0,1,ok
ct_naugatuck,batch_non_civicplus_baseline,http://www.naugatuck-ct.gov/,https://www.naugatuck-ct.gov/,0,200,1,text/html,"Naugatuck, CT | View Our Borough's News, Resources, & Things To Do - Naugatuck, CT",47968,23,0,0,22,0,1,ok
ct_new_britain,batch_non_civicplus_baseline,https://www.newbritainct.gov/,https://www.newbritainct.gov/,0,200,0,text/html,Home - City of New Britain,119417,1615,50,73,88,1,1,ok
ct_new_canaan,batch_non_civicplus_baseline,https://www.newcanaan.info/,https://www.newcanaan.info/,0,200,0,text/html,Welcome to New Canaan CT,76270,286,50,58,82,1,1,ok
ct_new_fairfield,batch_non_civicplus_baseline,https://www.newfairfield.org/,https://www.newfairfield.org/,1,403,0,text/html,,0,0,0,0,0,0,0,blocked_or_forbidden
