municipality_id,town_name,county,batch_id,priority,status,notes
ct_colchester,Colchester,New London County,batch_3,2,pending,platform_column_verified_civicplus
ct_lisbon,Lisbon,New London County,batch_3,2,pending,platform_column_verified_civicplus
ct_salem,Salem,New London County,batch_3,2,pending,platform_column_verified_civicplus
ct_coventry,Coventry,Tolland County,batch_3,2,pending,platform_column_verified_civicplus
ct_canterbury,Canterbury,Windham County,batch_3,2,pending,platform_column_verified_civicplus
ct_thompson,Thompson,Windham County,batch_3,2,pending,platform_column_verified_civicplus
ct_easton,Easton,Fairfield County,batch_4,2,pending,platform_column_verified_civicplus
ct_trumbull,Trumbull,Fairfield County,batch_4,2,pending,platform_column_verified_civicplus
ct_east_hartford,East Hartford,Hartford County,batch_4,2,pending,platform_column_verified_civicplus
ct_plainville,Plainville,Hartford County,batch_4,2,pending,platform_column_verified_civicplus
ct_bridgewater,Bridgewater,Litchfield County,batch_4,2,pending,platform_column_verified_civicplus
ct_new_hartford,New Hartford,Litchfield County,batch_4,2,pending,platform_column_verified_civicplus
ct_washington,Washington,Litchfield County,batch_4,2,pending,platform_column_verified_civicplus
ct_deep_river,Deep River,Middlesex County,batch_4,2,pending,platform_column_verified_civicplus
ct_hamden,Hamden,New Haven County,batch_4,2,pending,platform_column_verified_civicplus
ct_north_branford,North Branford,New Haven County,batch_4,2,pending,platform_column_verified_civicplus
ct_woodbridge,Woodbridge,New Haven County,batch_4,2,pending,platform_column_verified_civicplus
ct_franklin,Franklin,New London County,batch_4,2,pending,platform_column_verified_civicplus
ct_north_stonington,North Stonington,New London County,batch_4,2,pending,platform_column_verified_civicplus
ct_stonington,Stonington,New London County,batch_4,2,pending,platform_column_verified_civicplus
ct_andover,Andover,Tolland County,batch_4,2,pending,platform_column_verified_civicplus
ct_tolland,Tolland,Tolland County,batch_4,2,pending,platform_column_verified_civicplus
ct_eastford,Eastford,Windham County,batch_4,2,pending,platform_column_verified_civicplus
ct_windham,Windham,Windham County,batch_4,2,pending,platform_column_verified_civicplus
ct_greenwich,Greenwich,Fairfield County,batch_5,2,pending,platform_column_verified_civicplus
ct_wilton,Wilton,Fairfield County,batch_5,2,pending,platform_column_verified_civicplus
ct_east_windsor,East Windsor,Hartford County,batch_5,2,pending,platform_column_verified_civicplus
ct_rocky_hill,Rocky Hill,Hartford County,batch_5,2,pending,platform_column_verified_civicplus
ct_kent,Kent,Litchfield County,batch_5,2,pending,platform_column_verified_civicplus
ct_warren,Warren,Litchfield County,batch_5,2,pending,platform_column_verified_civicplus
ct_east_hampton,East Hampton,Middlesex County,batch_5,2,pending,platform_column_verified_civicplus
ct_madison,Madison,New Haven County,batch_5,2,pending,platform_column_verified_civicplus
ct_oxford,Oxford,New Haven County,batch_5,2,pending,platform_column_verified_civicplus
ct_lebanon,Lebanon,New London County,batch_5,2,pending,platform_column_verified_civicplus
ct_norwich,Norwich,New London County,batch_5,2,pending,platform_column_verified_civicplus
ct_voluntown,Voluntown,New London County,batch_5,2,pending,platform_column_verified_civicplus
ct_mansfield,Mansfield,Tolland County,batch_5,2,pending,platform_column_verified_civicplus
ct_pomfret,Pomfret,Windham County,batch_5,2,pending,platform_column_verified_civicplus
ct_woodstock,Woodstock,Windham County,batch_5,2,pending,platform_column_verified_civicplus
